"ID","Position Title","Campus : Location","Position Type","Employment Type","# of Openings","Posting Date","Closing Date","Who May Apply","Department/Unit","Benefits Eligible","FLSA Status","Job URL (Linked)","Special Instructions for Candidates (Text Only)","Job Summary and Essential Functions (Text Only)"
"2019-4149","Health And Counseling Student Employee","US-MN-St. Paul","Student","Student","1","6/10/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Center for Well-Being, Student Affairs","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4149/job","","Job Title:ÿHealth And Counseling Student Employee Pay Rate:ÿ$15.75/hour Shifts:ÿ8 hours per week during the summer, 20 hours per week during the academic year Locations:ÿSt. Paul Campus JOB SUMMARY Health and Counseling Services at the University of St. Thomas seeks to hire one graduate student to work 8 hours during the summer months and increasing to 20 hours per week to assist in managing the front desk. This position is responsible for assisting in answering phones and scheduling appointments in Health Services and Counseling and Psychological Services. ÿ ESSENTIAL FUNCTIONS - Provide respectful, confidential and professional patient experience for all entering the Health or Counseling Services. - Create, change or cancel patient appointments using Electronic Health Records (EHR) and ensuring correct patient by checking St. Thomas ID. - Maintain electronic health record (EHR) management ensuring privacy and security compliance, entering the correct patient, correct date of visit, appointment reason, health insurance and acknowledgement of HIPAA privacy are completed in the EHR demographic field. - Communicate effectively and efficiently with health care staff regarding urgent patient health care matters. - Schedule patient appointments using EHR system, scan in outside records into correct patient chart, send electronic tasks to other members of the team as policies and procedures dictate. - Must have the ability to calmly & respectfully handle crisis, multiple incoming telephone lines and face-to-face patient / family encounters - Other administrative tasks as assigned"
"2019-4140","IT Project Manager","US-MN-St. Paul","Staff","Full-Time Staff","1","6/10/2019","Open Until Filled","This position is open to all qualified applicants.","Information Technology Services - ITS","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for an IT Project Manager position within the Information Technology Services Department. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits ÿ JOB SUMMARY The IT Project Manager is responsible for planning, leading, organizing, and motivating traditional and agile project teams through the project lifecycle, driving to successful completion.ÿ This position will simultaneously manage and deliver multiple large projects per agreed upon scope, schedule, budget, and objectives and is responsible for facilitating communication with the project team, vendors and other project stakeholders.ÿ ÿ ESSENTIAL FUNCTIONS 1.ÿÿ Project Initiation/Planning:ÿ Plan, lead, and organize traditional and agile project teams on multiple projects.ÿ Collaborate internally to complete project evaluation, scoping, requirements definition and documentation; plan and facilitate project kickoff; complete project schedule.ÿ Collaborate with service teams to perform resource planning, develop communication plan, communicate plans to campus stakeholders and to the campus community when appropriate. ÿ 2.ÿÿ Project Execution/Control:ÿ Monitor project execution, including deliverables and provide status reporting on project progress.ÿ Prioritize and address new or unresolved issues, risks and proposed changes.ÿ Escalate as appropriate.ÿ Coordinate with internal and external stakeholders and manage project risk and issues.ÿ Communicate status and action information as part of the project communication plan, and informally as the needs of the project necessitate.ÿ Assure consistent application of the ITS project management methodology and processes. ÿ 3.ÿÿ Project Closeout:ÿ Complete detailed post project review and identify changes to improve overall project delivery.ÿ Communicate results.ÿ ÿ 4.ÿÿ Resource Management:ÿ Promote effective team interaction and collaboration and continuously work to meet the needs of the project team and stakeholders.ÿ Facilitate project team interaction and all applicable stakeholder communication and collaboration.ÿ ÿ 5.ÿÿ Participate in the continued development of ITS processes and procedures for project & portfolio management and ITS project communication. ÿ 6.ÿÿ Other duties as assigned."
"2019-4098","Living Learning Program Manager, Residence Life","US-MN-St. Paul","Staff","Full-Time Staff","1","5/21/2019","Open until Filled","This position is open to all qualified applicants.","Residence Life - Student Affairs","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for a Living Learning Program Manager opportunity within Residence Life. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits JOB SUMMARY The Department of Residence Life is implementing a two-year residency requirement, collaborating on the First-Year Experience program, enhancing its Living Learning Program with growth in the first-year and expansion into the second-year, increasing its housing capacity, and renovating its existing portfolio to best serve the future learning and engagement needs of students. ÿ The Living Learning Program Manager for the Department of Residence Life will primarily provide leadership and coordination for the Living Learning Program (LLP).ÿ The LLP includes first-year living learning communities (LLCs), first-year themed/special interest communities, and second-year LLC/themed/special interest communities.ÿ This position will focus on the implementation and coordination of co-curricular student learning within the LLP that aligns with the division?s Tommie Advantage curricular approach, and emphasizes collaboration across the division and university.ÿ The position will work closely with Faculty, Academic Affairs, Academic Counseling & Support, the Center for Student Achievement, Student Affairs, Dining Services, and Enrollment Services. ÿÿÿ ÿ ESSENTIAL FUNCTIONS - Provide Leadership and Coordination for First-Year Living and Learning: - Collaborate with the First-Year Experience Committee, Academic Counseling & Support, Faculty and Academic Affairs Administration to secure courses, faculty, and/or academic connections to all first-year living learning communities. - Ensure the creation of communities that support retention, diversity and inclusion, and preparation for the challenges of our world. - Collaborate with Enrollment Services to market and recruit first-year students into the program. - Support the development and implementation of the First-Year Experience Program and the Tommie Advantage curriculum. - Partner with the Center for Student Achievement to design and implement a model of continuous assessment and improvement. - Provide supervision of undergraduate and graduate students - Provide Leadership and Coordination for Second-Year Living and Learning: - Create, Design and Launch Second-Year Living Learning Communities as part of the two-year residency requirement and integration of living and learning across campus. - Collaborate with Faculty and Academic Affairs to secure academic connections to all second-year living learning communities. - Collaborate divisionally to provide experiential and applied learning, i.e., well-being, sustainability, career competencies, inclusive leadership. - Partner with the Center for Student Achievement to design and implement a model of continuous assessment and improvement. - Serve as a liaison to Career Development to facilitate targeted career development opportunities. - Provide supervision of undergraduate and graduate students"
"2019-4051","Marketing Intern - Global Learning and Strategy","US-MN-St. Paul","Student Onboarding Pilot","Student","1","4/24/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Global Learning and Strategy","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4051/job","Please submit a cover letter, resume, references, and a writing sample. In your cover letter, please specifically comment on your ability to create professional communication.","Job Title:ÿMarketing Intern - Global Learning and Strategy Shifts:ÿUp to 10-20 hours per week (Monday ? Friday) between the hours of 8:00 AM and 4:30 PMÿ Location:ÿSt. Paul Campusÿ ÿ JOB SUMMARY ÿ Global Learning and Strategy, a division of Academic Affairs, is seeking a graduate or undergraduate Marking Intern. Global Learning and Strategy (GLAS) is the administrative unit which supports internationalization on and off campus. ÿ ESSENTIAL FUNCTIONS The Marketing Intern will: - Support the Senior International Officer (SIO) with the development and implementation of a comprehensive marketing plan for Global Learning and Strategy. - Work with the SIO to create, write, edit, and publish/distribute hard copy and electronic content to faculty, students, staff and the broader St. Thomas community in an effort to inform about global/international St. Thomas initiatives. - Create and maintain social media accounts and communications. Investigate popular forms of social media and use them to engage the different populations on and off campus. - Assist with web content management for both internal and external websites using OneStThomas and T4. - Seek out international/global activity on and off campus to document and publicize. This may include attending events and/or interviewing and collecting information and photos from those who were in attendance."
"2019-4103","Marketing Intern - Wellness Center","US-MN-St. Paul","Student","Student","1","5/20/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Wellness Center","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4103/job","","Job Title:ÿMarketing Intern-Wellness Center Pay Rate:ÿ$9.86/hour Locations:ÿSt. Paul Campus ÿ JOB SUMMARY The Wellness Center?s mission is to assist students in developing healthy lifestyle choices and promote behaviors thatÿresult in enhanced wellbeing. We focus on developing the whole person by offering programs, resources, and educationalÿmaterial on health promotion and illness prevention.ÿYOU: are interested in visually promoting Wellness Center events to the St. Thomas community, flexible, self-motivatedÿand willing to take direction and learn. Your work will include preparing promotional support materials (digital signage,ÿprint handouts, posters, etc.), monitoring and updating social platforms, working with wellness student workers who plan the events, being part of the overall team, and reporting to the marketing/communications directors. Deadlinesÿare often short, so we will count on you to be productive and motivated. Often your work will be edited or adjusted inÿthe interest of time or branding. ÿ ESSENTIAL FUNCTIONS - Collaborating and interacting with the wellness indicator teams and partners - Learning and working with Creative Suite software for print and digital marketing - Working closely with marketing ?department? - Creating marketing materials - Maintaining a marketing database - Preparing, formatting and editing,proofing a range of documents - Understanding the event that you are promoting - Working within the St. Thomas brand - Organizing your work flow / meeting deadlines, often short - Flexible, cooperative attitude - your work will often be edited in the interest of time/branding - Updating social media accounts, as needed - Helping identify marketing opportunities / ideas for innovation"
"2019-4046","Math Tutor","US-MN-Minneapolis","Student","Student","2","5/2/2019","5/12/2019","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Dougherty Family College","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4046/job","","Job Title:ÿMath Tutor Shifts:ÿ2:30pm-5:00pm on scheduled days Locations:ÿMinneapolis Campus JOB SUMMARY Assist students with coursework for Math 101 and preparatory work for Math 101 in a drop-in tutoring setting. ESSENTIAL FUNCTIONS - Tutors will work with both individuals and small groups - Tutors will need to adapt instruction based on the needs and learning styles of students. - Tutors must complete tutor training,ÿculturally responsive teaching training and participate in ongoing tutor development."
"2019-4022","Mechanical Maintenance Engineer III, II or I","US-MN-Minneapolis & St. Paul","Staff","Full-Time Staff","1","4/10/2019","Open until Filled","This position is open to all qualified applicants.","Facilities Management ? Business Affairs","Yes","Non-Exempt/Hourly","","","The University of St. Thomas invites qualified candidates to apply for a Mechanical Maintenance Engineer within the Facilities Management department. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits Mechanical Maintenance Engineers will perform preventive maintenance and repairs of mechanical equipment and systems throughout the Universities properties. ÿ ESSENTIAL FUNCTIONS - Operation, maintenance, repairs, and water treatment testing of steam boilers, hydronic boilers, centrifugal chiller, cooling towers and closed loop systems. - Operation, maintenance and repairs of air handler units, exhaust fans, air conditioning units, humidifiers, dehumidifiers, refrigeration units, both commercial and residential. - Operation, maintenance and repairs of pumpingÿ - systems associated with heating, cooling and plumbing systems. - Operation, maintenance and repairs of swimming pools, whirlpool spas, their water treatment and associated pumping systems. - Plumbing repairs and maintenance of drains, sinks, faucets, showers, toilets, flush valves, floor drains, water heaters, water softeners and any axillary plumbing systems. - Commercial and residential repairs of refrigerators, stoves, ovens, ranges, dishwashers, clothes washers, and clothes dryers. - Maintenance and repair of residential style forced air furnaces, hydronic boilers, air conditioners and their axillary systems. - Operation, maintenance and repairs of pneumatic air compressors, vacuum system, air dryers and their axillary systems. - Operation, maintenance and repair of pneumatic control systems as related to the temperature control of mechanical equipment and systems. - Operating of the computerized Energy Management System (EMS) where it applies to the temperature control of mechanical equipment and systems, but not the management, utilization functions or programming of the system. Potential Shift Hours (Based On Seniority) Monday ? Fridayÿÿÿÿÿÿ7:00am ? 3:30pm Tuesday ? Saturdayÿÿÿ 7:00am ? 3:30pm Monday ? Fridayÿÿÿÿÿ10:00am ? 6:30pm Monday ? Fridayÿÿÿÿÿÿ2:30pm ? 11:00pm"
"2019-4065","Nurse Practitioner (.83 FTE)","US-MN-St. Paul","Staff","Part-Time Staff","1","5/14/2019","5/24/2019","This position is open to all qualified applicants.","Counseling and Psychological Services/Center for Well-Being - Student Affairs","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for a Nurse Practitioner within the Center for Well-Being. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits JOB SUMMARY The Nurse Practitioner will be responsible for providing direct primary and preventative health care to students, faculty, and staff from within the University community.ÿ Reporting to the Operations Director within The Center for Well-Being, this position will work collaboratively within a broad multidisciplinary team. This position will support a healthy campus culture that empowers students, faculty, and staff of every background to engage in lifelong healthy decision-making, personal growth, and academic success in an environment that is secure, welcoming, respectful, and compassionate. ÿ ESSENTIAL FUNCTIONS - Provide assessment, diagnosis, treatment, preventative counseling, and education for students, faculty, and staff of the University of St. Thomas community. Performs complete routine physical examinations including interpretation and evaluation of diagnostic test results. Provides follow up on all abnormal findings by either intervention, counseling, or referral on or off campus. Administers urgent care and assists in contacting University Public Safety, paramedics and/or emergency transport when necessary. - Assessment of psychosocial issues, providing counseling within scope of practice, and making referrals as necessary both on and off campus. - Establishes and documents plan of care with complete documentation in accordance with guidelines and standards of practice using the electronic health record system. - Works independently in the clinical setting, and collaboratively with the broader health care team to provide comprehensive care.ÿ Works collaboratively with the Center for Well-Being multidisciplinary team in providing high quality patient care and education.ÿ Meets as needed with other providers and health care team members for chart review, problem solving, and education. - Functions as a mentor and resource for other nurse practitioners, registered nurses, medical assistants, and support staff to ensure quality of care standards are maintained. - Reviews, develops, and updates policies, procedures, and protocols. ÿParticipates in quality improvement activities as assigned, e.g., in-service education established meetings, committees, patient education activities, and programs to improve the level of care provided in Health Services. - Performs other related duties supporting the daily operation of Health Services and the Center for Well-Being as assigned."
"2019-4078","Office Assistant","US-MN-Minneapolis","Student","Student","1","5/8/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Financial Aid","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4078/job","","Job Title:ÿOffice Assistant Shifts:ÿSummer availability must include Thursdays and Fridays;ÿFall 2019 and Spring 2020 availability must include Tuesdays and Fridays Locations:ÿMinneapolis Campus ÿ **APPLICANTS FOR THIS POSITION MUST QUALIFY FOR FEDERAL WORK STUDY** To determine your eligibility, contact the Financial Aid Office.ÿ ÿ ESSENTIAL FUNCTIONS - Act as primary receptionist to the Minneapolis Graduate Financial Aid Office and Office of Student Data and Registrar. - Greet and assist all students, staff, and customers. - Provide administrative support for the Graduate Financial Aid staff by answering basic questions and helping with financial aid forms. - Provide administrative support for the Office of Student Data and Registrar by printing walk-in transcript requests and helping with forms. - Become familiar with the Minneapolis campus to be able to offer directions and general information."
"2019-4033","Office for Spirituality Graduate Assistant","US-MN-St. Paul","Student","Student","1","4/12/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Office for Spirituality - Center for Ministry","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4033/job","Please submit a cover letter, resume, and the names/contact information for two professional references. In your cover letter, be sure to specifically comment on what you hope to learn from the position and how your past experience has effectively prepared you to work in a campus ministry setting.","The Center for Campus Ministry supports the growth and development of graduate students at the University of St. Thomas.ÿ Through the Graduate Assistantship position, the Center for Campus Ministry provides a graduate student with an opportunity for ministerial and other skill development and vocational discernment while completing their graduate degree. This position is responsible for assisting the Office for Spirituality programs with emphasis on our Retreat Program. You will interact with a wide variety of groups and individuals, including students, faculty, and staff. If selected, you will further develop your leadership, ministry experience, event, project planning, and communication skills. ÿ PURPOSE The purpose of the Graduate Assistantship is for the graduate student to: - Gain competency in working within higher education and gain practical ministerial skills. - Integrate faith/ministry, service/justice, leadership, and prayer into their graduate coursework. - Discern their ministerial vocation and/or enhance their commitment as lay leaders. CORE AREAS The core areas of the Graduate Assistantship allows for gaining experience with the following: - Building relationships with students (relational ministry) - Mentoring Undergraduate Student Leaders - Leadership Training/Development for self and students - Planning, promotion, execution and evaluation of retreats and other programs - Assisting with web maintenance - Assist with developing spiritual program for graduate students. - Contribute to awareness of the mission of the Center for Campus Ministry. GENERAL DUTIES The Graduate Assistant is a member of the Center for Campus Ministry team who, under the direction of the Office for Spirituality professional staff will assist with the following: - In conjunction with the professional staff, assist with the Retreat Program, which may include: - coordinate retreat planning, promotion and execution, - train and coordinate work with student leaders; - facilitate and schedule student meetings. - Assist with editing and posting of the Seasonal Reflections during Advent and Lent. - Interacting with students, staff, and faculty across the University. Collaborate with student ministers and professional staff to promote Office for Spirituality programs and services.ÿ To be effective, you will need to practice ethical standards and maintain a high level of professionalism, maturity, and enthusiasm. - Attendance at all Center for Campus Ministry all-staff retreats (fall and spring), and other Center for Campus Ministry all-staff events. - Assist with Office for Spirituality?s website updates, and social media accounts. - Other responsibilities and duties, as assigned. ÿ"
"2019-4104","Office of Sustainability Initiatives Intern","US-MN-St. Paul","Student","Student","1","5/20/2019","","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Office of Sustainability Initiatives","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4104/job","","Job Title:ÿOffice of Sustainability Initiatives Intern Pay Rate:ÿ$10.25 Shifts:ÿ15-25 hours per week. Employee will be expected to staff the Welcome Days session during Labor Day weekend. Location:ÿSt. Paul ÿ JOB SUMMARY ÿ We are seeking student interns to develop and execute the Sustainability Session for Welcome Week (WWSS). Interns will be called upon to help plan the WWSS event, troubleshoot problems as they occur, provide an outstanding experience for incoming first-year students, and document the process for future years. These on-site event interns will recruit and organize internal and external partners to participate in the WWSS and serve as the liaison between participating partners, the University of St. Thomas Office of Sustainability, and Welcome Week organizers.ÿInterns will identify and develop methods to ensure first-year student engagement in the WWSS event and assess its effectiveness. During the WWSS event, event interns will support internal and external partners, assure that event set-ups are correct, and be available to direct our guests. ÿ ÿ WORK ACTIVITIES - Communicating with Persons Outside Organization? Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail - Communicating with Supervisors, Peers, or volunteers ? Providing information to stakeholders by telephone, in written form, e-mail, or in person - Getting Information? Observing, receiving, and otherwise obtaining information from all relevant sources - Updating and Using Relevant Knowledge? Keeping up-to-date technically and applying new knowledge to your job - Establishing and Maintaining Interpersonal Relationships? Developing constructive and cooperative working relationships with others, and maintaining them over time - Organizing, Planning, and Prioritizing Work? Developing specific goals and plans to prioritize, organize, and accomplish your work - Making Decisions and Solving Problems? Analyzing information and evaluating results to choose the best solution and solve problems ÿ JOB RESPONSIBILITIES - Document and execute plans related to WWSS - Consult with campus partners to determine objectives and requirements for events - Propose and implement a plan for engaging students and assessing learning at the WWSS via means such as a survey, passport, or other strategies - Arrange the availability of audio-visual equipment, displays, and other event needs - Confer with staff at a chosen event site to coordinate details - Volunteer management; including welcoming volunteers, training them on functions of the booth and answering questions - Serve as point person to answer questions from volunteers and visitors - Develop a procurement database that identifies sustainable options for student incentives or give-aways. Document costs, feasibility, acceptance, and examples from peer institutions ÿ"
"2019-4063","Office/Equipment Student Worker","US-MN-St. Paul","Student","Student","2","4/26/2019","","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Health & Exercise Science - CAS","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4063/job","","The Department of Health & Exercise Science supports Exercise Science, Public Health and Health Promotion majors. We are looking for student workers to help manage equipment check-outs and inventory as well as assist with office work and ad hoc requests from faculty. This is great experience to work with advanced and industry-specific equipment! Training would be provided the last two weeks of spring 2019 semester and there would be opportunities to work some hours over the summer. ÿ Key Activities Include: - Inventory, training, maintenance, and check-out of lab equipment - Assist department faculty with requests and projects as needed - Oversee the labs during evenings hours intermittently throughout the semester and answer questions related to software programs, equipment and department processes Aid with miscellaneous office tasks (i.e. make copies, run errands, clean classrooms tables, answer student questions etc.)"
"2019-4028","Operations Management Tutor (2019-2020)","US-MN-St. Paul","Student","Student","3","5/23/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Opus College of Business - OCB","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4028/job","Please upload your resume.","Business program tutors work an average of 8 hours per week. Hours are flexible based on availability and will be set each semester.ÿ ÿ Responsibilities: - Participate in tutor orientation and training sessions - Provide academic support to Opus College of Business undergraduate students within scheduled working hours for the following courses: - Operations Management tutors will provide support for OPMT 300, 310 & OPMT 320 (OPMT 300 is a course in the new core business curriculum) - Direct students to appropriate campus resources - Track and report the number of students, courses and topics covered, issues, and any suggested campus resources - Remain up-to-date on department information - Meet with supervisor each semester to receive a performance evaluation and provide feedback - Accurately report all hours worked"
"2019-4095","Operations Student Assistant","US-MN-St. Paul","Student","Student","3","5/15/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Information Technology Services - ITS","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4095/job","Special Instructions to Candidates: - Must be available to work between the hours of 8:00am-4:30pm Monday-Friday (there will be flexibility and the ability to work around your class schedule). - Work between 15-20 hours per week. - This position is open to undergraduate students","Job Title:ÿ Office of Student Data and Registrar ? Operations Student Assistant Shifts: 15-20 hours/weekly Location: St. Paul Campusÿ ÿ JOB SUMMARY ÿ This position exists primarily to provide operational support for the Office of Student Data and Registrar. The individual will assist in the management of student data to ensure data integrity and data access within Student Data Services in relation all aspects of student data. In addition, this individual will maintain a customer-focused and supportive environment. ÿ ESSENTIAL FUNCTIONS General Job duties include: ÿ - Data entry to Banner - Assist students at front desk - Manage emails and calls - Scanning documents using Optix - General administrative duties - Special projects as neededÿÿÿÿÿÿÿÿÿ"
"2019-4073","Parking Services Student Assistant","US-MN-St. Paul","Student","Student","5","5/3/2019","","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Public Safety - Auxiliary Services","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4073/job","","Job Title:ÿParking Services Student Assistant Locations:ÿSt Paul Campus JOB SUMMARY The Student Parking Assistant performs a wide range of duties, and all student staff will be trained for all duties. At this time, however, we are primarily in need to students to write citations to vehicles parked on campus, in violation of university parking policies. The hours for this position will range from morning, to afternoon and evening, to overnight. ESSENTIAL FUNCTIONS - The student will be thoroughly trained in parking policies and citation writing procedures.ÿ - This student will also be trained for the front desk duties, which include: - Answering phones - Selling parking permits and bus passes - Answering questions regarding parking and/or parking citations - Data entry - Clerical duties - Other tasks as needed"
"2019-4118","Part Time Assistant Director for Liturgy","US-MN-St. Paul","Staff","Part-Time Staff","1","5/23/2019","Open until Filled","This position is open to all qualified applicants.","Office for Campus Ministry - Center for Ministry","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for anÿAssistant Director for Liturgy opportunity within the Office for Campus Ministry. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits JOB SUMMARY The Assistant Director of Campus Ministry for Liturgy directs and supervises the preparation of the liturgy for the University of St. Thomas, exclusive of the two seminaries.ÿ This position requires specialized knowledge of liturgical theology, liturgical music, and an ability to function in a university setting.ÿ ÿ This is part-time, benefits elligible position of 25 hours per week. ÿ ESSENTIAL FUNCTIONS - Direct all liturgical planning processes including planning rites and music, scheduling presiders, confessors, and other liturgical ministers, the implementation of seasonal planning, and planning for various special university liturgies. - Collaborate with various university departments regarding university liturgies and para-liturgies including the University Opening Celebration, St. Thomas Day, Dedications, Prayer in Times of Difficulty or Crisis, Graduation Mass, etc. - Direct the recruitment, training, and ongoing supervision of liturgical ministers including both liturgical ministry and music ministry work-study positions. - Supervise the Chapel Organist and Director of Music. - Ensure proper communications and advertising for all Campus Ministry sacramental and worship opportunities. - Serve as representative and/or liaison, as needed, to a variety of UST offices and committees to ensure Campus Ministry collaboration with and presence in the life of the University. - Participate actively, positively, and collaboratively in the Campus Ministry team including meetings, general goal setting, budgeting, and the overall work of Campus Ministry."
"2019-4114","Part Time Assistant Men?s and Women?s Swim Coach","US-MN-St. Paul","Staff","Coach","1","5/23/2019","Open until Filled","This position is open to all qualified applicants.","Athletics","No","Non-Exempt/Hourly","","","The University of St. Thomas invites qualified candidates to apply for a Part Time Men's and Women's Swim Coach within the Athletics department. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOB SUMMARY This position is responsible for, but not limited to: implementation of training program, coaching, recruitment, travel, skill development of student athletes and meet/ practice planning. Specific emphasis on daily administrative duties as assigned by head coach. Position will act as primary back-up for head coach in his/her absence. ÿ This is a contract position and is not benefits eligible. ÿ ESSENTIAL FUNCTIONS - Teaching individual skill development and technique - Recruitment of student-athletes, including travel, data base management, coordination of overnight visits and create calling lists - Organize, administer and demonstrate aspects of team practice ? training group management and use of underwater video equipment - Assist in practice/daily team workouts and meet strategy - Daily administrative duties for all aspects of the program - Other duties as assigned by head coach"
